Sample	Dog_PCA	Wolf_Dog_PCA
Elo01	European_Dogs	European_Dogs
EnglishBulldog01	European_Dogs	European_Dogs
EnglishFoxhound02_947	European_Dogs	European_Dogs
EnglishFoxhound03_27119	European_Dogs	European_Dogs
EnglishMastiff01_21270	European_Dogs	European_Dogs
EnglishMastiff02	European_Dogs	European_Dogs
EnglishMastiff03_24151	European_Dogs	European_Dogs
EnglishMastiff04_30097	European_Dogs	European_Dogs
EnglishMastiff05	European_Dogs	European_Dogs
EnglishMastiff06	European_Dogs	European_Dogs
EnglishPointer01	European_Dogs	European_Dogs
EnglishPointer02	European_Dogs	European_Dogs
EnglishSetter01	European_Dogs	European_Dogs
EnglishSetter02	European_Dogs	European_Dogs
EnglishSetter03	European_Dogs	European_Dogs
EnglishSetter04_15386	European_Dogs	European_Dogs
EnglishSetter05_26982	European_Dogs	European_Dogs
EnglishSetter07	European_Dogs	European_Dogs
EnglishSetter08	European_Dogs	European_Dogs
EnglishSpringerSpaniel01	European_Dogs	European_Dogs
EnglishSpringerSpaniel03	European_Dogs	European_Dogs
EnglishSpringerSpaniel04_4238	European_Dogs	European_Dogs
EnglishSpringerSpaniel05_4239	European_Dogs	European_Dogs
EnglishSpringerSpaniel07	European_Dogs	European_Dogs
EnglishSpringerSpaniel08	European_Dogs	European_Dogs
EnglishSpringerSpaniel09	European_Dogs	European_Dogs
EnglishSpringerSpaniel10	European_Dogs	European_Dogs
EntlebucherSennenhund01	European_Dogs	European_Dogs
EntlebucherSennenhund02	European_Dogs	European_Dogs
EntlebucherSennenhund03	European_Dogs	European_Dogs
EntlebucherSennenhund04	European_Dogs	European_Dogs
EntlebucherSennenhund05	European_Dogs	European_Dogs
EntlebucherSennenhund06	European_Dogs	European_Dogs
EntlebucherSennenhund07	European_Dogs	European_Dogs
EntlebucherSennenhund08	European_Dogs	European_Dogs
EntlebucherSennenhund09_12841	European_Dogs	European_Dogs
EntlebucherSennenhund10_12842	European_Dogs	European_Dogs
EntlebucherSennenhund11_12859	European_Dogs	European_Dogs
EthiopianWolf01	Wolves	Outgroup
Eurasier01	European_Dogs	European_Dogs
Eurasier02	European_Dogs	European_Dogs
Eurasier03_22815	European_Dogs	European_Dogs
FieldSpaniel01	European_Dogs	European_Dogs
FieldSpaniel02_27364	European_Dogs	European_Dogs
FieldSpaniel03_28377	European_Dogs	European_Dogs
FieldSpaniel04_28378	European_Dogs	European_Dogs
FinnishLapphund01	European_Dogs	European_Dogs
FinnishSpitz01_7309	European_Dogs	European_Dogs
FlatCoatedRetriever01_20576	European_Dogs	European_Dogs
FlatCoatedRetriever02_24743	European_Dogs	European_Dogs
FlatCoatedRetriever03_28051	European_Dogs	European_Dogs
